title,poster,resolution,download,watch
Tennen Koi-iro Alcohol - 02 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/5ozyGRpJcBHkwCTyRMILFg/js/lodt9aec/xdushr/poster.png,1920x1080,https://le-malicieux.embedseek.com/#ijw9n&dl=1,https://le-malicieux.embedseek.com/#ijw9n
Tsumamigui s1 02 VOSTFR.mkv,https://asset.seekstreaming.info/JSatUqBzp9fV4uk4c90uOg/ox/lodt9aec/ka5qjc/poster.png,1440x1080,https://le-malicieux.embedseek.com/#5pmue&dl=1,https://le-malicieux.embedseek.com/#5pmue
Tsumamigui s1 01 VOSTFR.mkv,https://asset.seekstreaming.info/RzyqfTyO8ELxLzwkqJI15g/js/lodt9aec/mropss/poster.png,1440x1080,https://le-malicieux.embedseek.com/#v5sxh&dl=1,https://le-malicieux.embedseek.com/#v5sxh
Succubus Connect! - 04 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/He3nc1okVpbKltezFnjGww/js/lodt9aec/ptcroi/poster.png,1920x1080,https://le-malicieux.embedseek.com/#twfov&dl=1,https://le-malicieux.embedseek.com/#twfov
Soukan Yuugi s2 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/eCbgbwG1IbSI_d9Y3_qzqQ/js/lodt9aec/8mbwvd/poster.png,1920x1080,https://le-malicieux.embedseek.com/#pz8vq&dl=1,https://le-malicieux.embedseek.com/#pz8vq
Soukan Yuugi s1 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/MS-_8CuUXNbGT4Cdxk_56Q/il/lodt9aec/iqnkln/poster.png,1920x1080,https://le-malicieux.embedseek.com/#gd5fr&dl=1,https://le-malicieux.embedseek.com/#gd5fr
Soukan Yuugi s2 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/T6gXOgdqUxdQOrl06x2r2w/us/lodt9aec/mrophh/poster.png,1920x1080,https://le-malicieux.embedseek.com/#91rmw&dl=1,https://le-malicieux.embedseek.com/#91rmw
Shoujo kara Shoujo e... - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/BXIq4-1-1Z84nJwrDo2RAw/us/lodt9aec/xdusia/poster.png,3840x2160,https://le-malicieux.embedseek.com/#uvqeg&dl=1,https://le-malicieux.embedseek.com/#uvqeg
Soukan Yuugi - 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/CmbXBAWrTi1DZkDz2Qj48Q/us/lodt9aec/9vtjdc/poster.png,1920x1080,https://le-malicieux.embedseek.com/#89osi&dl=1,https://le-malicieux.embedseek.com/#89osi
Sexfriend no Senpai The Animation - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/OzFDpPvxMwT6BRIJh73iiA/luy/lodt9aec/ptcrkg/poster.png,1920x1080,https://le-malicieux.embedseek.com/#xujck&dl=1,https://le-malicieux.embedseek.com/#xujck
Pretty x Cation The Animation - s2 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/AfNZ05XsyfNxTiQ7wQOKQg/9ow/lodt9aec/mropi5/poster.png,1920x1080,https://le-malicieux.embedseek.com/#smyps&dl=1,https://le-malicieux.embedseek.com/#smyps
Pretty x Cation The Animation - s2 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/fMfOleXIMBBEkYq3ReoM7A/k5/lodt9aec/l53nu5/poster.png,1920x1080,https://le-malicieux.embedseek.com/#wkhqe&dl=1,https://le-malicieux.embedseek.com/#wkhqe
Onna Kyoushi - 03 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/4gyHVrjUymUJI15-Z6sEkg/vz/lodt9aec/hcqoph/poster.png,1440x1080,https://le-malicieux.embedseek.com/#k6gsr&dl=1,https://le-malicieux.embedseek.com/#k6gsr
Oyome-sama Honey Days 02 vostfr.mkv,https://asset.seekstreaming.info/JUfSkIsvZI_M2nLn5SMiCw/vz/lodt9aec/mrop6t/poster.png,1920x1080,https://le-malicieux.embedseek.com/#6ydmc&dl=1,https://le-malicieux.embedseek.com/#6ydmc
Oyome-sama Honey Days 01 vostfr.mkv,https://asset.seekstreaming.info/NHbYB3qZ7ToHi-kV_8xMxQ/db/lodt9aec/s38dlo/poster.png,1920x1080,https://le-malicieux.embedseek.com/#ijwur&dl=1,https://le-malicieux.embedseek.com/#ijwur
Onna Kyoushi - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/IGsZJEOu2saEeb5yQY_E5Q/us/lodt9aec/xduhxt/poster.png,1440x1080,https://le-malicieux.embedseek.com/#hgv6r&dl=1,https://le-malicieux.embedseek.com/#hgv6r
Maro no Kanja wa Gatenkei - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/qGPdT2JErwp_Ihsrb8g39g/us/lodt9aec/rfz3rq/poster.png,1920x1080,https://le-malicieux.embedseek.com/#1itxa&dl=1,https://le-malicieux.embedseek.com/#1itxa
Maro no Kanja wa Gatenkei - 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/u1A0QaFOV5u5jUOosVIIzw/vz/lodt9aec/6jrlg8/poster.png,1920x1080,https://le-malicieux.embedseek.com/#twfjn&dl=1,https://le-malicieux.embedseek.com/#twfjn
Mama Katsu: Midareru Mama-tachi no Himitsu - 04 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/62s62CPcIV_V-7Ymo6durA/us/lodt9aec/s38ohk/poster.png,1920x1080,https://le-malicieux.embedseek.com/#91rem&dl=1,https://le-malicieux.embedseek.com/#91rem
Mama Katsu: Midareru Mama-tachi no Himitsu - 03 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/_bslmu01CP4QiO502-gQnQ/mf/lodt9aec/mrosbx/poster.png,1920x1080,https://le-malicieux.embedseek.com/#lbett&dl=1,https://le-malicieux.embedseek.com/#lbett
Konna ni Yasashiku Sareta no 03 vostfr.mkv,https://asset.seekstreaming.info/F_78CcpLFh5R72YFXsf9vw/x68/lodt9aec/iqn9my/poster.png,1920x1080,https://le-malicieux.embedseek.com/#89oc5&dl=1,https://le-malicieux.embedseek.com/#89oc5
Konna ni Yasashiku Sareta no 02 vostfr.mkv,https://asset.seekstreaming.info/G0LdfB5UDsc4TnAFP-sdUg/x68/lodt9aec/uwvqpz/poster.png,1920x1080,https://le-malicieux.embedseek.com/#smybc&dl=1,https://le-malicieux.embedseek.com/#smybc
Sei Yariman Sisters Pakopako Nikki The Animation - 01 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/p_si4ZSmew4hd4xHn2-hyQ/x68/lodt9aec/qxyvdx/poster.png,1920x1080,https://le-malicieux.embedseek.com/#ce163&dl=1,https://le-malicieux.embedseek.com/#ce163
Konna ni Yasashiku Sareta no 01 vostfr.mkv,https://asset.seekstreaming.info/74XABsDp7--x-EKMx05wGQ/x68/lodt9aec/hcqugr/poster.png,1920x1080,https://le-malicieux.embedseek.com/#wkhzg&dl=1,https://le-malicieux.embedseek.com/#wkhzg
Shin Hitou Meguri - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/OXVILXT245E9K0FMJ_Zmow/x68/lodt9aec/tig1jj/poster.png,1920x1080,https://le-malicieux.embedseek.com/#k6gcr&dl=1,https://le-malicieux.embedseek.com/#k6gcr
Kyonyuu Try! - Tanki Shuuchuu Chichi Momi Lesson - 01 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/3Jga0BqjSfm34GrdXQX3TA/us/lodt9aec/8mbade/poster.png,1920x1080,https://le-malicieux.embedseek.com/#bfxms&dl=1,https://le-malicieux.embedseek.com/#bfxms
ParcMilf 01 VOSTFR.mkv,https://asset.seekstreaming.info/AoNdd8-yucsZYYFcL8yGuA/qu/lodt9aec/uwvqsw/poster.png,1920x1080,https://le-malicieux.embedseek.com/#6ydeh&dl=1,https://le-malicieux.embedseek.com/#6ydeh
Nerawareta Megami Tenshi Angeltia: Mamotta Ningen-tachi ni Uragirarete - 04 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/W4B4GwXNuG-d9IF__NrZZQ/qu/lodt9aec/hcqumd/poster.png,1920x1080,https://le-malicieux.embedseek.com/#ijwaq&dl=1,https://le-malicieux.embedseek.com/#ijwaq
Yakin Byoutou: Mana Kazama - 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/M8OVFm9NwgmfGtu_sPUewQ/qu/lodt9aec/vhiyqo/poster.png,1920x1080,https://le-malicieux.embedseek.com/#nlcqa&dl=1,https://le-malicieux.embedseek.com/#nlcqa
Jokei Kazoku III: Himitsu - 01 VOSTFR [hstream.moe].mkv,https://asset.seekstreaming.info/owzUiJsrNoWnmNCW92V3ig/db/lodt9aec/tig1rr/poster.png,1920x1080,https://le-malicieux.embedseek.com/#1itdt&dl=1,https://le-malicieux.embedseek.com/#1itdt
Gakuen no Ikenie Nagusami Mono to Kashita Kyonyuu Furyou Shoujo - 01 VOSTFR [hstream.moe].mkv,https://asset.seekstreaming.info/Zrs6wifFgxhohpLEo6MiGw/us/lodt9aec/hcquby/poster.png,1920x1080,https://le-malicieux.embedseek.com/#ijwam&dl=1,https://le-malicieux.embedseek.com/#ijwam
Houkago 2 Sayuri 01 VOSTFR.mkv,https://asset.seekstreaming.info/ssNw0RPqx18EJE80jQPQjw/kdv/lodt9aec/hcqubu/poster.png,1920x1080,https://le-malicieux.embedseek.com/#twfpw&dl=1,https://le-malicieux.embedseek.com/#twfpw
Auction Bijo Dorei 01 vostfr.mkv,https://asset.seekstreaming.info/cVUDFrzftSXynKwJfOggcw/js/lodt9aec/6jrlz5/poster.png,1440x1080,https://le-malicieux.embedseek.com/#gd51z&dl=1,https://le-malicieux.embedseek.com/#gd51z
Mahou Touki Lilustear - 04 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/iLH_G7mkg0QRnzM98qOSnw/np/lodt9aec/e8jkjr/poster.png,1920x1080,https://le-malicieux.embedseek.com/#xuj5r&dl=1,https://le-malicieux.embedseek.com/#xuj5r
Mahou Touki Lilustear - 03 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/L2eUF_b3fjSUGIdoNc4ubw/np/lodt9aec/hcqujn/poster.png,1920x1080,https://le-malicieux.embedseek.com/#smy93&dl=1,https://le-malicieux.embedseek.com/#smy93
Kotowari Kimi no Kokoro no Koboreta Kakera - 02 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/sSKFEWsHXLQd4zhSZftpAQ/il/lodt9aec/d1wcvm/poster.png,1920x1080,https://le-malicieux.embedseek.com/#k6g3z&dl=1,https://le-malicieux.embedseek.com/#k6g3z
Kotowari Kimi no Kokoro no Koboreta Kakera - 01 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/IPVi2EpKKaG43xxP2We8jw/ck/lodt9aec/9vtnqa/poster.png,1920x1080,https://le-malicieux.embedseek.com/#6ydoi&dl=1,https://le-malicieux.embedseek.com/#6ydoi
Eromame - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/3zb0E0Z4xkb3WTNIeL4F2w/xq/lodt9aec/ka5jqt/poster.png,1920x1080,https://le-malicieux.embedseek.com/#hgvaf&dl=1,https://le-malicieux.embedseek.com/#hgvaf
Hime-sama Gentei! - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/zAI0Gg9QldYNLSAwv2lDsw/js/lodt9aec/qxyvv9/poster.png,1920x1080,https://le-malicieux.embedseek.com/#3ontw&dl=1,https://le-malicieux.embedseek.com/#3ontw
I Can - 03 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/Kl9GO2XSshFa--pcGeDEhQ/mf/lodt9aec/8mbavr/poster.png,3840x2160,https://le-malicieux.embedseek.com/#ijwsg&dl=1,https://le-malicieux.embedseek.com/#ijwsg
Maid-san to Boin Damashii - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/L4r7XZ8SOphUgWDUz2YswQ/il/lodt9aec/qxyv3s/poster.png,1920x1080,https://le-malicieux.embedseek.com/#v5szl&dl=1,https://le-malicieux.embedseek.com/#v5szl
Maid-san to Boin Damashii The Animation - 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/Jg7Q8A-pCoy-d19Sgn5BLg/m9/lodt9aec/bokemw/poster.png,1920x1080,https://le-malicieux.embedseek.com/#gd5ny&dl=1,https://le-malicieux.embedseek.com/#gd5ny
Amai Ijiwaru - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/0eckCivH5D6NRkuJOGNDmg/hz/lodt9aec/vhifvc/poster.png,1920x1280,https://le-malicieux.embedseek.com/#lbehh&dl=1,https://le-malicieux.embedseek.com/#lbehh
Amai Ijiwaru - 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/oHikIHWONWb5EwbsEkg0Vw/hld/lodt9aec/mrohy8/poster.png,1920x1280,https://le-malicieux.embedseek.com/#k6gif&dl=1,https://le-malicieux.embedseek.com/#k6gif
Majuu Jouka Shoujo Utea - 04 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/Ru3rJG29nBPX6zwwQ2dYtw/ho/lodt9aec/6jrpyz/poster.png,1920x1080,https://le-malicieux.embedseek.com/#orlm5&dl=1,https://le-malicieux.embedseek.com/#orlm5
Majuu Jouka Shoujo Utea - 03 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/i2Dxx_FST_d8v8iEUVGJxA/ox/lodt9aec/6jrpfw/poster.png,1920x1080,https://le-malicieux.embedseek.com/#89o59&dl=1,https://le-malicieux.embedseek.com/#89o59
Majuu Jouka Shoujo Utea - 02 vostfr [1080p][48fps][hstream.moe].mkv,https://asset.seekstreaming.info/LHirzOZ6ZbQvDjnkhYemXg/x68/lodt9aec/mrohw1/poster.png,1920x1080,https://le-malicieux.embedseek.com/#twf9g&dl=1,https://le-malicieux.embedseek.com/#twf9g
Misuzu Ikenai Koto 01 VOSTFR UNC.mkv,https://asset.seekstreaming.info/Kh4s-CQzrRSBCDl1iStQ1w/hld/lodt9aec/boki5j/poster.png,1920x1080,https://le-malicieux.embedseek.com/#m83vy&dl=1,https://le-malicieux.embedseek.com/#m83vy
Honoo no Haramase Doukyuusei - 02 VOSTFR [hstream.moe].mkv,https://asset.seekstreaming.info/QTyi7YRi28Zpgp-ZGaIKcw/hz/lodt9aec/tigzod/poster.png,1920x1080,https://le-malicieux.embedseek.com/#91rpj&dl=1,https://le-malicieux.embedseek.com/#91rpj
Honoo no Haramase Doukyuusei - 01 VOSTFR [hstream.moe].mkv,https://asset.seekstreaming.info/uZSd3SK9f5BwFp5esZeL7A/js/lodt9aec/hcqkzz/poster.png,1920x1080,https://le-malicieux.embedseek.com/#ce1tk&dl=1,https://le-malicieux.embedseek.com/#ce1tk
JK to Inkou Kyoushi 4 feat. Ero Giin-sensei - 02  VOSTFR [hstream.moe].mkv,https://asset.seekstreaming.info/qbPEjhXqIeOdyUwXBA5-Xg/mf/lodt9aec/6jrptp/poster.png,1920x1080,https://le-malicieux.embedseek.com/#hgvs1&dl=1,https://le-malicieux.embedseek.com/#hgvs1
JK to Inkou Kyoushi 4 feat. Ero Giin-sensei - 01 VOSTFR [hstream.moe].mkv,https://asset.seekstreaming.info/PN84NqekgaGAStiwpkY9RA/mf/lodt9aec/e8j95t/poster.png,1920x1080,https://le-malicieux.embedseek.com/#3once&dl=1,https://le-malicieux.embedseek.com/#3once
Ikusa Otome Suvia - 4 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/oxzRl5hDaxwC-OQaopRIcQ/np/lodt9aec/iqnl3y/poster.png,1920x1080,https://le-malicieux.embedseek.com/#5pm36&dl=1,https://le-malicieux.embedseek.com/#5pm36
Ikusa Otome Suvia - 3 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/d75inRdz2S2iebceu50FKA/ck/lodt9aec/bokirl/poster.png,1920x1080,https://le-malicieux.embedseek.com/#gd5mv&dl=1,https://le-malicieux.embedseek.com/#gd5mv
Ikusa Otome Suvia - 2 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/tNrc0Lqff5xYCtePGx5U_Q/js/lodt9aec/iqnlqn/poster.png,1920x1080,https://le-malicieux.embedseek.com/#cevc8&dl=1,https://le-malicieux.embedseek.com/#cevc8
Ikusa Otome Suvia - 1 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/S6X1F3fD4pzVdv9mBjhZRw/hz/lodt9aec/ptco3d/poster.png,1920x1080,https://le-malicieux.embedseek.com/#orkok&dl=1,https://le-malicieux.embedseek.com/#orkok
Mesu Kyoushi Injoku no Kyoushitsu - 03 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/8HZOQEgeERziXlh2mzEBTQ/mf/lodt9aec/5e61f8/poster.png,1920x1080,https://le-malicieux.embedseek.com/#cevhx&dl=1,https://le-malicieux.embedseek.com/#cevhx
Mesu Kyoushi Injoku no Kyoushitsu - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/4wbc_rybAUx9R4rxl2xffQ/lf/lodt9aec/xdueen/poster.png,1920x1080,https://le-malicieux.embedseek.com/#k6o8n&dl=1,https://le-malicieux.embedseek.com/#k6o8n
Mesu Kyoushi Injoku no Kyoushitsu - 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/_ZWmsGsHggMysOzR3K2fSg/hld/lodt9aec/s38ukj/poster.png,1920x1080,https://le-malicieux.embedseek.com/#bfd6l&dl=1,https://le-malicieux.embedseek.com/#bfd6l
Notto Sexaroid Eurie! - 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/4V0ZiNBlUBKoEfiJSGuRwA/hld/lodt9aec/mroh6v/poster.png,1920x1080,https://le-malicieux.embedseek.com/#hgn3e&dl=1,https://le-malicieux.embedseek.com/#hgn3e
Notto Sexaroid Eurie! - 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/0VF6K_9zup6KlBOQjIWdrQ/tab/lodt9aec/gndhgy/poster.png,1920x1080,https://le-malicieux.embedseek.com/#ijm5b&dl=1,https://le-malicieux.embedseek.com/#ijm5b
Futa-bu! - s2 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/pMRahCHukQnAFOuKyUo3fQ/tab/lodt9aec/uwvnum/poster.png,1920x1080,https://le-malicieux.embedseek.com/#89jxt&dl=1,https://le-malicieux.embedseek.com/#89jxt
Futa-bu! - s2 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/raakHyq1W5Vc517WNeH3cA/tab/lodt9aec/cgxv8i/poster.png,1920x1080,https://le-malicieux.embedseek.com/#pzxbm&dl=1,https://le-malicieux.embedseek.com/#pzxbm
Futa-bu! - s1 02 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/4ycehUA0jAI2m4qe6e9zrQ/pq/lodt9aec/rfz8d8/poster.png,1920x1080,https://le-malicieux.embedseek.com/#m8ien&dl=1,https://le-malicieux.embedseek.com/#m8ien
Futa-bu! - s1 01 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/wcJoascYHsBVmmZuKYr2_w/pq/lodt9aec/mroeb3/poster.png,1920x1080,https://le-malicieux.embedseek.com/#uvztt&dl=1,https://le-malicieux.embedseek.com/#uvztt
Dearest Blue - 03 vostfr [hstream.moe].mkv,https://asset.seekstreaming.info/Jv5lsBYA0ALiZHnKrS5MCw/xq/lodt9aec/9vtdpj/poster.png,1920x1080,https://le-malicieux.embedseek.com/#89jdz&dl=1,https://le-malicieux.embedseek.com/#89jdz
Ikenai Koto The Animation - 01 vostfr UNC [hstream.moe].mkv,https://asset.seekstreaming.info/ZHdjTnwVbLQ7Lnq-J8LNcg/61/lodt9aec/e8jlmm/poster.png,1920x1080,https://le-malicieux.embedseek.com/#hgniw&dl=1,https://le-malicieux.embedseek.com/#hgniw
